Junction,CarCount,BusCount,BikeCount,TruckCount,TotalVehicles,Weather,Temperature,Hour,DayOfWeek,IsRushHour,IsWeekend,TrafficSituation
Junction C,11,2,10,5,28,Foggy,11.834347898661639,0,Monday,0,0,Low
Junction A,16,6,16,3,41,Cloudy,16.118528947223794,1,Monday,0,0,Low
Junction B,22,0,19,0,41,Cloudy,11.822360877880623,2,Monday,0,0,Low
Junction C,15,3,1,5,24,Foggy,17.06857343847617,3,Monday,0,0,Low
Junction B,16,4,12,4,36,Cloudy,12.56068322761324,4,Monday,0,0,Low
Junction A,28,0,16,3,47,Cloudy,11.100519245276768,5,Monday,0,0,Low
Junction B,10,3,18,3,34,Rainy,10.514787512499893,6,Monday,0,0,Low
Junction C,50,24,33,12,119,Foggy,18.095010461397152,7,Monday,1,0,Severe
Junction A,70,15,48,12,145,Foggy,11.887071083413794,8,Monday,1,0,Severe
Junction B,82,16,28,15,141,Rainy,16.918951976926934,9,Monday,1,0,Severe
Junction A,76,15,20,8,119,Rainy,15.720041992091831,10,Monday,0,0,Severe
Junction C,63,10,22,15,110,Rainy,18.773730719279556,11,Monday,0,0,Severe
Junction B,54,11,25,5,95,Rainy,10.305002499390493,12,Monday,0,0,High
Junction B,62,12,13,9,96,Cloudy,13.988209014447946,13,Monday,0,0,High
Junction C,60,10,19,7,96,Rainy,14.356728986778911,14,Monday,0,0,High
Junction C,61,10,28,19,118,Cloudy,14.646738129396114,15,Monday,0,0,High
Junction C,45,10,15,9,79,Rainy,13.365542148887265,16,Monday,0,0,High
Junction B,103,12,40,13,168,Cloudy,15.805440123439098,17,Monday,1,0,Severe
Junction C,84,14,24,13,135,Cloudy,10.53485296747369,18,Monday,1,0,Severe
Junction A,85,29,36,15,165,Rainy,10.575587600166443,19,Monday,1,0,Severe
Junction A,35,17,16,4,72,Foggy,17.062422271564962,20,Monday,0,0,Medium
Junction A,60,10,20,4,94,Cloudy,14.002228928720248,21,Monday,0,0,Medium
Junction A,74,7,15,9,105,Rainy,13.842018313792199,22,Monday,0,0,High
Junction A,38,8,8,7,61,Rainy,11.626169393448913,23,Monday,0,0,Medium
Junction A,20,7,7,2,36,Rainy,17.499107494699718,0,Tuesday,0,0,Low
Junction C,23,6,13,1,43,Cloudy,18.163857352130623,1,Tuesday,0,0,Low
Junction B,12,2,10,1,25,Foggy,10.662359778518658,2,Tuesday,0,0,Low
